StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,block_1_prolific_ID,block_2_check#1_1,block_2_check#2_1,block_2_check#3_1,Q47_First Click,Q47_Last Click,Q47_Page Submit,Q47_Click Count,block_2_sf_dn,block_2_nh_dn,block_2_fh_dn,block_2_ph_dn,block_2_att_check,block_2_att_check_5_TEXT,block_2_how_far_1,Q229#1_1,Q231_First Click,Q231_Last Click,Q231_Page Submit,Q231_Click Count,block_2_sf_db,block_2_nh_db,block_2_fh_db,block_2_ph_db,Q237,Q237_5_TEXT,Q238_1,Q218#1_1,Q218#2_1,Q218#3_1,Q220_First Click,Q220_Last Click,Q220_Page Submit,Q220_Click Count,block_2_sf_cn,block_2_nh_cn,block_2_fh_cn,block_2_ph_cn,Q226,Q226_5_TEXT,Q227_1,Q207#1_1,Q207#2_1,Q209_First Click,Q209_Last Click,Q209_Page Submit,Q209_Click Count,block_2_sf_cb,block_2_nh_cb,block_2_fh_cb,block_2_ph_cb,Q215,Q215_5_TEXT,Q216_1,block_3_ease_of_proc,block_3_lang_underst,block_3_life_change,block_3_which_change,block_4_age,block_4_gender,block_4_cons_lib,block_4_english_lang,block_5_hurry,block_5_no_reading,block_5_distracted,block_5_study_about,block_5_seen_this,block_5_influence,block_5_feedback
2022-07-06 03:49:02,2022-07-06 03:54:41,IP Address,109.145.122.219,100,338,True,2022-07-06 03:54:41,R_123loDM9G2WvbER,,,,,53.3376,-1.4771,anonymous,EN,607165c4d9ee4d7b0388c438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July,2022,0,0,60.024,0,"I've got a new book out of the library and it comes recommended, can't wait to get started on it, might have a really lazy day and read it in a day, love doing that.","The move is finally happening, its taken so much time and effort I cannot wait for the stress of it to be over and start to get settled, garden first house second LOL!","Looking forward to seeing you all next week, will be great to spend some quality time together and really relax.","So the time has come, everything is organised and we are ready to go, I hope everyone has a great time and that the weather holds out for the BBQ",Next week,,12,Moderately easy,6,No,,50,Female,Slightly conservative,Yes,Never,Never,Not at all,no idea,"no, i thought i was going to describe my events next week so not sure what the point of me thinking about them was",no,no
2022-07-06 03:48:42,2022-07-06 03:54:56,IP Address,176.253.15.194,100,374,True,2022-07-06 03:54:56,R_3IWOTGsqx50jPLP,,,,,51.372,0.454,anonymous,EN,5a67b46ec0d836000108089f,,,,,,,,,,,,,,,,,,,,,,,,,,,July,13,2022,0,0,60.018,0,I will start a new book and at first be baffled by the terms but slowly get into it until I find that I am really enjoying the story and want to recommend it to others,I would have packed in advance and would be waiting for the moving van to collect my furniture and boxes and transport them to the new place with the kids all excited about what our home will be like,I would be overjoyed to have a day of holiday next Thursday and would spend it with my parents and brother and their dogs just hanging out and chatting between ourselves,I would be extremely stressed and wishing the whole thing was over although I would enjoy the food preparation and would probably be completing the finishing touches about now ,Thursday next week,,4,,,,,,,,,,,,,,Moderately difficult,3,No,"Oh no I think I got the date of next Thursday wrong, I'm so sorry! ",43,Female,Very liberal,Yes,Never,Never,Not at all,The language we use when we think about future events - whether it's conditional for instance,No,No,I think I put the wrong date but this is because I am stupid not because I didn't pay attention! I am terrible with dates and adding up days 
2022-07-06 03:48:06,2022-07-06 03:55:06,IP Address,145.40.139.7,100,419,True,2022-07-06 03:55:08,R_3FOPoeMwXGeg0WX,,,,,50.9169,-1.422,anonymous,EN,5fd957002dc9172302e1d60c,,,,,,,,,,,,,,,2023,0,0,60.009,0,I will read a science fiction book next year if it comes highly recommended to me by both my husband and son who read this type of fiction.,"I will not be moving to a new home in the next year, but always like to keep a check on what is happening on rightmove and will plan for the future when I may like to move one day.",I will take my family to Canada next year on holiday.  My husband and I honeymooned in Canada and next year will be our Silver Wedding anniversary.  We would love to do a similar trip and take our children to see what we saw 25 years ago.,"I would love to have a party in my home at Christmas.  I feel that with the pandemic, Christmas has been tough the last couple of years, and it would be lovely to let our hair down and relax fully.",Next year,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slightly easy,6,No,,51,Female,Liberal,Yes,Never,Never,4,Peoples ability to think about the future and what they perceive as being the future,No,No,No
2022-07-06 03:39:26,2022-07-06 03:56:00,IP Address,82.7.29.82,100,993,True,2022-07-06 03:56:00,R_1ey2V1v1WY9tHFP,,,,,50.8429,-0.1158,anonymous,EN,5a53b9d78e62590001758ece,,,,,,,,,,,,,,,,,,,,,,,,,,,July,14,2022,0,0,60.022,0,"I thoroughly recommend a new book I'm reading, it's a science fiction book called Another world. I can share my copy after I've finished reading it, probably by next Thursday.",Next Thursday we are exchanging contracts and moving into our new house. Please feel free to pop along and help with the move.,"Can't wait to jet off with you all next Thursday, Tunisia is going to be amazing. We'll meet at the airport approx 10am in the north terminal. See you soon xxx","Regarding our party next Thursday, please bring your own drinks and we will supply the food. It's supposed to be quite hot so I am thinking about doing a BBQ.",Thursday next week,,2,,,,,,,,,,,,,,Extremely easy,Understood completely,No,,51,Male,Slightly conservative,Yes,Never,Never,Not at all,My emails to my family regarding different scenario events on next Thursday.,No,No,Nothing comes to mind
2022-07-06 03:48:51,2022-07-06 03:56:15,IP Address,79.66.150.32,100,443,True,2022-07-06 03:56:16,R_24j9P4nCrLLCMFj,,,,,50.8253,-0.3719,anonymous,EN,60f9a0020bc6deb0259636c1,June,30,2023,0,0,60.008,0,I think these would be similar to the books available now. I think they would feature a dystopian world where many of the population are experiencing poverty. I think there will be new technology featured in these books. ,"I think this is likely. I imagine I would be moving into my new home around this time next year, I would be thinking about how to decorate it and what i need to buy. I would be planning a house warming party. The thought of this makes me excited for the future. ",This is likely. It would probably be the last holiday with family before having a child. This could be somewhere local or abroad. ,This would likely be a small party maybe to celebrate getting a new house or having a baby. It would be fun to host this party. It would most likely involve either friends or family. ,June 30th next year,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither easy nor difficult,Understood completely,Yes,"Getting married in September, after the wedding will start considering buying a house and/or having a baby",24,Female,"Moderate, middle of the road",Yes,Never,Never,Not at all,Seeing how people describe different events,No,No,No
2022-07-06 03:45:44,2022-07-06 03:56:29,IP Address,90.215.21.159,100,644,True,2022-07-06 03:56:29,R_shfguqFtxewfoU9,,,,,51.5494,-0.3664,anonymous,EN,56cda8a952789e000b3d9925,June,30,2023,0,0,60.115,0,"I don't usually read science fiction, so this is a recommendation from a family member, I hope that I am converted to this genre of book.",I am stressed but excited at the thought of moving. I look forward to getting the house looking just right and inviting family and friends round to see our new home.,"I am thrilled to be spending time with my family who no longer live at home. I want to explore parts of Cornwall that I'm not so familiar with, eat lovely food, drink wine and enjoy some relaxing time in beautiful Cornish coves, just watching and swimming in the sea.","I love a party for family and friends, I will decorate the garden and gazebo with garlands, bunting abd fairy lights, greet all the guests with glasses of something cool and bubbly, have a delicious BBQ with all the trimmings, play music, dance, play games and have a thoroughly lovely time.",June 30th next year,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extremely easy,6,Yes,Retirement,65,Female,"Moderate, middle of the road",Yes,Never,Never,Not at all,Imagining the future,No,No,No
2022-07-06 03:49:41,2022-07-06 03:56:36,IP Address,88.98.243.168,100,414,True,2022-07-06 03:56:37,R_40jtTC5ZphubjJD,,,,,53.4809,-2.2374,anonymous,EN,62aafc7a13e6cf4948c3ed8b,,,,,,,,,,,,,,,,,,,,,,,,,,,July,14,2022,0,0,60.112,0,Going to the library and getting a Sci-Fi novel. Sitting in my room and reading it in the evening once I have finished work. I probably will read at least 10 pages.,Lots of stress! Packing all my stuff up and having my boyfriend help me to move. I'll most likely end up frustrated that I did not start planning further in advance,Heading on a road trip with my family to the seaside. The weather will be cool but nice and we will have lots of good songs queued up. We will stop at Costa for breakfast and coffee on the way. ,"Inviting my close friends over for a relaxed evening party. I won't drink but some of my friends will have far too much alcohol. It will be a great time, but we'll all be tired on Friday",Thursday next week,,5,,,,,,,,,,,,,,Slightly easy,5,No,,21,Female,Liberal,Yes,Sometimes,Never,4,Visualisation,No,I don't think so,I found this far more difficult than I anticipated!
2022-07-06 03:46:42,2022-07-06 03:56:44,IP Address,90.255.21.183,100,601,True,2022-07-06 03:56:44,R_Y4QWkJAj4PwLR4d,,,,,51.3655,-0.1632,anonymous,EN,5daf656c65d10f0016c903d6,June,30,2023,0,0,60.022,0,I would read this book outside in the garden sitting in the sun. My son would be at school and my husband would be at work. I would be drinking a drink with ice and relaxing.,This would feel very overwhelming. Moving is a big deal. I would feel stressed about the logistics and sad to leave out home that we have spent 7 years in. So many major life events have happened in our current home. I would also be excited to see the new home and hopefully it will be very big and have a swimming pool!,I would be with my husband and my son. I might even be pregnant - I hope so. We won't have much cash so it will probably be a holiday in the UK. Maybe we would do glamping or something like that.,"It is my birthday soon after so I could have a birthday gathering. Maybe we could do a BBQ and have my friends over. There would be lots of music, some beer and wine and hugs. we would eat some cake and maybe play some games.",June 30th next year,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderately easy,6,Yes,Hoping to get pregnant,37,Female,Liberal,Yes,Never,Never,2,Ability to imagine the future and also ability to understand instructions,I don't think I have done one like this before.,Not sure. Perhaps the instructions at the beginning about the email could have been confusing.,Not that I can think of.
2022-07-06 03:47:05,2022-07-06 03:56:57,IP Address,176.27.16.60,100,592,True,2022-07-06 03:56:58,R_3e4SKOMDR01oWXm,,,,,51.4806,0.1548,anonymous,EN,61587ef7a7a1af1c9d8690d3,,,,,,,,,,,,,,,,,,,,,,,,,,,July,14,2022,0,0,60.006,0,"reading a science fiction book will be a very difficult task for me on Thursday next week as I have two small children to take care of whilst my husband works night shifts. this means I have to ensure that we keep as quiet as possible, or are out of the house in order for him to sleep. If I do get to read a book, it will be very late once the children are in bed, but by then I will be very tired myself.","moving into a new home will be very chaotic and stressful as a family of 4, but also very exciting. it would take a lot of hard work and a lot of help from our friends and family to achieve this","I would love to spend a holiday as a family, enjoying lots of quality time together before my little girl goes to school in September. I would love to be able to go some where that the children would love, and where we could make lots of memories together. maybe somewhere with a swimming pool, and somewhere for the children to play. ","parties at our home are full of fun, food and laughter for both adults and children. we often host family get togethers to celebrate birthdays or events and they are usually very busy but very fun. the small children go off together and play, whilst us adults have a few drinks and a catch up and we often have lots of food.",Thursday next week,,1,,,,,,,,,,,,,,Slightly easy,5,No,,32,Female,Slightly liberal,Yes,Never,Never,Not at all,how far people plan into the future and if they are looking at day to day tasks or big events,no,no,no
2022-07-06 03:51:50,2022-07-06 03:57:05,IP Address,86.155.24.188,100,315,True,2022-07-06 03:57:06,R_x96rFw0JZSVmayZ,,,,,53.2145,-0.5711,anonymous,EN,60297217b23caa3276abfafb,June,30,2023,0,0,60.01,0,"I read a book, not my usual genre to be honest, but it was actually better than I thought it would be, I like science fiction films but not books usually but it was a good read. I'd recommend it! ","Moving has been so stressful, especially moving in with somebody, never lived with people other than family, or friends at uni before so it's going to be a big adjustment! Can't wait for it though, I'm so excited. ","Holiday with the family is always good, best thing is spending time with nephew and nieces and making memories, seeing the three of them play together is a highlight every time. ","Similar to the house party I did when I moved into my old place, basically anybody I know and like will get an invite, all dayer drinking, order food in, I'll try and get less drunk than last time though! ",June 30th next year,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slightly easy,5,Yes,"Maybe moving in with my partner, proposal/marraige possibly. ",31,Male,Liberal,Yes,2,Never,4,Language people use to imagine events in future,No,Pausing for a minute to think about a years time,
2022-07-06 03:37:16,2022-07-06 03:57:15,IP Address,86.21.113.92,100,1199,True,2022-07-06 03:57:16,R_2ZJROQLKGcSChB7,,,,,53.4003,-2.2154,anonymous,EN,614f11b7b2ebfed743f4d609,,,,,,,,,,,,,,,,,,,,,,,,,,,July,14,2022,0,0,60.123,0,"As I will be travelling using public transport next Thursday, it is likely that i will read my science fiction book on my forward and return journeys.","I would have everything packed into labelled boxes with a corresponding list of all items packed in a moving diary. I would have checked times that the removal firm will be turning up and that I will have sorted keys to my new home. I will have items that I will need first for the kitchen, bathroom and bedroom in clearly labelled boxes so that they can be unpacked first. ","Apart from deciding on meal times, I would have no set agenda so that we could choose on the day the type of activities that we wanted to engage with e.g. reading, swimming, walking, exploring the local area. I would have packed to ensure that we have everything we need to engage in a range of activities.","I would have sent invitations with a starting time, checked to see roughly how many people would attend. Cleaned the house, decided on what kind of food I'm going to provide ( catering to different dietary requirements), prepared food in advance, sorted out drinks (alcoholic and non-alcoholic), ensured there was enough tableware and cutlery to cater to the event and then enjoyed the party.",Thursday next week,,6,,,,,,,,,,,,,,Moderately easy,6,No,,55,Female,Liberal,Yes,Never,Never,Not at all,to ascertain how different individuals plan for upcoming events,No,No,I like to be organised.
2022-07-06 03:49:15,2022-07-06 03:57:49,IP Address,151.225.214.162,100,514,True,2022-07-06 03:57:50,R_3fItlGuVlmainMQ,,,,,52.0435,1.1842,anonymous,EN,61166b745f79dc14ad1e1ae7,June,30,2023,0,0,60.014,0,"I would be possibly doing this as I enjoy reading, and I am bad at finishing books. Perhaps a new years resolution will be to finish books, and start new ones like science fiction.","I do not think this will be likely, but I do not like the ides as I have recently moved. Next year inflation may be even worse, so the idea of this is very unlikely.","I think this could be possible, however we have not been on holiday for a while due to money problems. This would be a nice idea, and hopefully we could go next year on June 30th.","I do not think this will be likely as I am not a fan of parties, and it is likely that my attitude will change as I am quite introverted, I do not fully like the idea of this.",June 30th next year,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderately difficult,3,Yes,"Going to university, perhaps learning to drive also.",18,Female,"Moderate, middle of the road",Yes,Never,Never,2,"Seeing expectation ability, perhaps researching schemas.",no,no,no
2022-07-06 03:51:15,2022-07-06 03:58:32,IP Address,82.30.24.64,100,436,True,2022-07-06 03:58:33,R_2z5EeuEgSjA53nD,,,,,53.8226,-1.568,anonymous,EN,603120de986f7501dfbf4fb0,,,,,,,,,,,,,,,2023,0,0,60.107,0,"Would probably be during the summer as that is when I will have the most time. I don't read science fiction usually, so the book probably would have been recommended or have gone viral. Would probably take me a while to read as I don't like science fiction. ","Would probably be moving into a new University house with my friends. Moving in would be chaos, bored everywhere, parents trying to get home to avoid traffic of the motorways, being exhausted but satisfied at the end. Would eventually settle into the the new home. ","Would probably be in Spain, I would translate for my family when needed, I would end up getting sunburn like I do every year, we would go to a town a few hours away and spend the day there, water skiing, reading books, eating Spanish dishes in the towns with the locals.","Would probably be a garden party with my family to celebrate someone's birthday or a bank holiday weekend with good weather. My mum would make us pull out every piece of garden furniture and clean it. The food would be picky bits, and the gnats would start to come and bite everyone in the evening.",Next year,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderately easy,Understood completely,No,,19,Female,Liberal,Yes,Never,Never,Not at all,How accurately you can describe an event in your future ,No,No,No
