StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q178,Q4#1_1,Q4#2_1,Q4#3_1,Q47_First Click,Q47_Last Click,Q47_Page Submit,Q47_Click Count,list_cn,reading_cn,army_cn,clothes_cn,apple_cn,tree_cn,carpeting_cn,house_cn,room_cn,rent_cn,houseplants_cn,door_cn,voting_cn,tree_cn,personality_cn,toothbrusing_cn,test_cn,greeting_cn,temptation_cn,eating_cn,garden_cn,car_cn,cavity_cn,child_cn,doorbell_cn,attention check,attention check_5_TEXT,Q61_1,Q167#1_1,Q167#2_1,Q167#3_1,Q73_First Click,Q73_Last Click,Q73_Page Submit,Q73_Click Count,list_dn,reading_dn,army_dn,clothes_dn,apple_dn,tree_dn,carpeting_dn,house_dn,room_dn,rent_dn,houseplants_dn,door_dn,voting_dn,tree_dn,personality_dn,toothbrushing_dn,test_dn,greeting_dn,temptation_dn,eathing_dn,garden_dn,car_dn,cavity_dn,child_dn,doorbell_dn,Q101,Q101_5_TEXT,Q102_1,Q117#1_1,Q117#2_1,Q119_First Click,Q119_Last Click,Q119_Page Submit,Q119_Click Count,list_cb,reading_cb,army_cb,clothes_cb,apple_cb,tree_cb,carpeting_cb,house_cb,room_cb,rent_cb,houseplants_cb,door_cb,voting_cb,tree_cb,presonality_cb,toothbrushing_cb,test_cb,greeting_cb,temptation_cb,eating_cb,garden_cb,travelling_cb,cavity_cb,child_cb,doorbell_cb,Q147,Q147_5_TEXT,Q148_1,Q165#1_1,Q152_First Click,Q152_Last Click,Q152_Page Submit,Q152_Click Count,list_db,reading_db,army_db,clothes_db,apple_db,tree_db,carpeting_db,house_db,room_db,rent_db,houseplants_db,door_db,voting_db,tree_db,personality_db,toothbrushing_db,test_db,greeting_db,temptation_db,eating_db,garden_db,car_db,cavity_db,child_db,doorbell_db,Q180,Q180_5_TEXT,Q181_1,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q46,Q47,Q48,Q62,Q171,Q173,Q176,Q177,Q49,Q52,Q63,Q56,Q58,Q59,Q60
2022-05-13 10:55:17,2022-05-13 11:03:51,IP Address,96.54.164.2,100,513,True,2022-05-13 11:03:52,R_2zdzVGOS897HGwS,,,,,49.15,-123.9167,anonymous,EN,5ef0b3a1bf585900099155cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June,30,2023,0,0,60.117,0,Writing things down,Gaining knowledge,Signing up,Putting clothes into the machine,Pulling an apple off a branch,Getting firewood,Getting ready to remodel,Vacuuming the floor,Making the room look fresh,Maintaining a place to live,Watering plants,Securing the house,Marking a ballot,Getting a good view,Revealing what you are like,Preventing tooth decay,Showing ones knowledge,Saying hello,"Saying ""no""",Getting nutrition,Getting fresh vegetables,Seeing the countryside,Protecting your teeth,Teaching a child something,Seeing if someones home,June 30th next year,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,4,2,Not at all,Not at all,Very much so,6,Very much so,Slightly difficult,6,No,,61,Male,Liberal,Yes,Never,Never,Not at all,I think this was a more language related study,No,No,No
2022-05-13 10:57:23,2022-05-13 11:03:54,IP Address,163.116.130.21,100,391,True,2022-05-13 11:03:54,R_2BfBHFRx0XRHUdS,,,,,43.6655,-79.4204,anonymous,EN,5f9b15d9d7b7d92e6d5494bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June,30,2023,0,0,60.182,0,Getting organized,Gaining knowledge,Signing up,Removing odors from clothes,Getting something to eat,Getting firewood,Getting ready to remodel,Vacuuming the floor,Making the room look fresh,Maintaining a place to live,Watering plants,Securing the house,Influencing the election,Getting a good view,Revealing what you are like,Preventing tooth decay,Showing ones knowledge,Showing friendliness,Showing moral courage,Getting nutrition,Getting fresh vegetables,Seeing the countryside,Protecting your teeth,Teaching a child something,Seeing if someones home,June 30th next year,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,3,2,4,5,4,4,Slightly easy,5,No,None,37,Female,"Moderate, middle of the road",Yes,Never,Never,Not at all,thinking about the future and what certain tasks mean to you,No,no,no
2022-05-13 10:57:34,2022-05-13 11:04:14,IP Address,105.225.98.134,100,400,True,2022-05-13 11:04:14,R_SITHNTL8usLVfWh,,,,,-34.0486,18.4811,anonymous,EN,5f5db79ce610d96177840daf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May,2022,0,0,60.11,0,Getting organized,Gaining knowledge,Helping the Nations defense,Putting clothes into the machine,Getting something to eat,Getting firewood,Getting ready to remodel,Vacuuming the floor,Making the room look fresh,Maintaining a place to live,Watering plants,Securing the house,Influencing the election,Getting a good view,Revealing what you are like,Moving a brush around in ones mouth,Showing ones knowledge,Saying hello,"Saying ""no""",Getting nutrition,Planting seeds,Seeing the countryside,Going to the dentist,Using simple words,Seeing if someones home,Next week,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,3,3,2,2,5,5,4,Moderately easy,Understood completely,No,,28,Male,"Moderate, middle of the road",Yes,Never,Never,Not at all,Ambiguity. What a simple term means to you.,No.,Not really.,
2022-05-13 10:57:37,2022-05-13 11:04:24,IP Address,86.42.217.83,100,407,True,2022-05-13 11:04:25,R_1FmjzLFp1locAwv,,,,,51.814,-8.3964,anonymous,EN,5bf7063eab2bef00013ea5a1,May,19,2022,36.008,53.944,60.05,4,Writing things down,Following lines of print,Helping the Nations defense,Removing odors from clothes,Pulling an apple off a branch,Wielding an axe,Using a yard stick,Vacuuming the floor,Applying brush strokes,Maintaining a place to live,Watering plants,Securing the house,Influencing the election,Holding on to branches,Answering questions,Preventing tooth decay,Showing ones knowledge,Showing friendliness,"Saying ""no""",Chewing and swallowing,Planting seeds,Seeing the countryside,Going to the dentist,Using simple words,Seeing if someones home,Thursday next week,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much so,2,6,6,Not at all,5,3,2,2,Slightly easy,Understood completely,No,,22,Male,Slightly liberal,Yes,2,Never,2,"Judging how people's mindset can influence their decision making, or opinion about things.",I have not.,"Thinking about next Thursday and the fun I will have put me in a more positive mood, which may have influenced what answers I gave to the task questions.",No
2022-05-13 10:53:58,2022-05-13 11:05:09,IP Address,86.154.255.255,100,671,True,2022-05-13 11:05:10,R_RsnvIkj8EUHKyQx,,,,,52.757,0.4153,anonymous,EN,61bb369440db417c1a1388aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June,30,2023,0,0,60.01,0,Writing things down,Following lines of print,Signing up,Putting clothes into the machine,Getting something to eat,Getting firewood,Getting ready to remodel,Vacuuming the floor,Making the room look fresh,Writing a check,Watering plants,Securing the house,Influencing the election,Holding on to branches,Revealing what you are like,Moving a brush around in ones mouth,Answering questions,Showing friendliness,Showing moral courage,Chewing and swallowing,Planting seeds,Seeing the countryside,Going to the dentist,Using simple words,Seeing if someones home,June 30th next year,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Very much so,6,3,Not at all,5,3,6,2,Slightly easy,5,No,,28,Female,"Moderate, middle of the road",Yes,Never,Never,2,The future ,No,No,
2022-05-13 10:56:19,2022-05-13 11:05:12,IP Address,2.218.180.58,100,533,True,2022-05-13 11:05:12,R_3QL7FXIgp6xNf6V,,,,,53.5972,-2.3013,anonymous,EN,5c4fe78f8ac59200014cf239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,0,0,60.118,0,Writing things down,Gaining knowledge,Signing up,Removing odors from clothes,Getting something to eat,Getting firewood,Getting ready to remodel,Vacuuming the floor,Making the room look fresh,Maintaining a place to live,Making the room look nice,Securing the house,Influencing the election,Getting a good view,Revealing what you are like,Preventing tooth decay,Showing ones knowledge,Saying hello,"Saying ""no""",Getting nutrition,Planting seeds,Seeing the countryside,Going to the dentist,Teaching a child something,Moving a finger,Next year,,18,4,5,5,4,2,5,5,6,Not at all,Neither easy nor difficult,Understood completely,No,,20,Female,Very liberal,Yes,2,Never,Not at all,Planning ahead,no,no, no
2022-05-13 10:59:26,2022-05-13 11:05:22,IP Address,82.132.230.67,100,356,True,2022-05-13 11:05:22,R_1Q63eR5AhgKDbcm,,,,,51.4897,-0.1065,anonymous,EN,609fa09ded5dd5b4ee42cc4c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May,2022,21.33,42.58,60.021,2,Writing things down,Following lines of print,Signing up,Putting clothes into the machine,Pulling an apple off a branch,Wielding an axe,Getting ready to remodel,Vacuuming the floor,Applying brush strokes,Writing a check,Watering plants,Putting a key in the lock,Marking a ballot,Holding on to branches,Answering questions,Moving a brush around in ones mouth,Answering questions,Saying hello,"Saying ""no""",Chewing and swallowing,Planting seeds,Following a map,Going to the dentist,Using simple words,Moving a finger,Next week,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Very much so,6,6,Not at all,4,Not at all,5,Not at all,Moderately easy,Understood completely,No,,55,Female,Liberal,Yes,Never,Never,Not at all,Whether you think literally,No,No,No
2022-05-13 10:56:27,2022-05-13 11:05:41,IP Address,82.69.137.222,100,554,True,2022-05-13 11:05:41,R_2QEVhScqSROPYB6,,,,,53.5039,-2.1959,anonymous,EN,5f5526489254dc0dbb238184,May,19,2022,0,0,60.12,0,Getting organized,Gaining knowledge,Helping the Nations defense,Putting clothes into the machine,Pulling an apple off a branch,Wielding an axe,Getting ready to remodel,Showing ones cleanliness,Applying brush strokes,Maintaining a place to live,Watering plants,Putting a key in the lock,Marking a ballot,Getting a good view,Answering questions,Preventing tooth decay,Showing ones knowledge,Saying hello,Showing moral courage,Getting nutrition,Planting seeds,Seeing the countryside,Going to the dentist,Teaching a child something,Seeing if someones home,Thursday next week,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,4,3,5,5,3,3,Slightly easy,6,No,,25,Female,Slightly conservative,Yes,Sometimes,2,5,Possibly how visualising future situations influences answers.,"Yes, initial reactions to questions.","Yes, imagining a point in the future could influence immediate reactions to questions.",No
2022-05-13 10:57:51,2022-05-13 11:06:28,IP Address,152.37.65.163,100,517,True,2022-05-13 11:06:29,R_cUCoQigWmwaaRod,,,,,51.4805,-0.0113,anonymous,EN,5cb0aa471a9e59000171df89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June,30,2023,0,0,60.107,0,Writing things down,Gaining knowledge,Signing up,Putting clothes into the machine,Getting something to eat,Wielding an axe,Getting ready to remodel,Vacuuming the floor,Applying brush strokes,Writing a check,Watering plants,Putting a key in the lock,Marking a ballot,Holding on to branches,Answering questions,Moving a brush around in ones mouth,Answering questions,Saying hello,Showing moral courage,Getting nutrition,Planting seeds,Following a map,Going to the dentist,Using simple words,Moving a finger,June 30th next year,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,5,Not at all,5,4,4,2,Moderately difficult,Understood completely,Yes,Moving to a new region of the country,27,Male,Liberal,Yes,Never,Never,Not at all,How people who envision tasks in different ways (e.g. specific practical actions vs. more conceptual placement of tasks) perceive time/the future.,"I have seen a task like this before, but cannot remember exactly what it was about. I think it was maybe to do with news headlines and historical figures.",Being asked to imagine a specific date influnced how I answered the later question about when the specific date was,
2022-05-13 11:00:33,2022-05-13 11:07:24,IP Address,86.130.126.197,100,411,True,2022-05-13 11:07:24,R_2YECS13V4LgLi5q,,,,,52.5299,-1.0945,anonymous,EN,5c52f9bce66e510001ee16c2,May,19,2022,0,0,60.021,0,Getting organized,Gaining knowledge,Helping the Nations defense,Putting clothes into the machine,Pulling an apple off a branch,Wielding an axe,Using a yard stick,Vacuuming the floor,Applying brush strokes,Maintaining a place to live,Watering plants,Securing the house,Influencing the election,Holding on to branches,Revealing what you are like,Preventing tooth decay,Answering questions,Showing friendliness,"Saying ""no""",Getting nutrition,Planting seeds,Following a map,Going to the dentist,Teaching a child something,Seeing if someones home,Thursday next week,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,5,Not at all,Very much so,5,4,Not at all,Slightly easy,6,No,,31,Female,"Moderate, middle of the road",Yes,Never,Never,Not at all,Whether you do a task for a reason or a result,No,No,No
2022-05-13 10:53:27,2022-05-13 11:07:30,IP Address,102.132.54.152,100,843,True,2022-05-13 11:07:31,R_2Ylyl5HTCegqC9L,,,,,-26.3811,27.8376,anonymous,EN,5f8038ceefbc9f02632dce3c,May,19,2022,14.536,47.796,60.016,5,Writing things down,Following lines of print,Signing up,Putting clothes into the machine,Getting something to eat,Getting firewood,Using a yard stick,Vacuuming the floor,Applying brush strokes,Writing a check,Watering plants,Putting a key in the lock,Marking a ballot,Holding on to branches,Answering questions,Moving a brush around in ones mouth,Answering questions,Saying hello,"Saying ""no""",Chewing and swallowing,Planting seeds,Following a map,Protecting your teeth,Using simple words,Moving a finger,Thursday next week,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much so,,6,2,Not at all,Very much so,Very much so,Very much so,Very much so,Moderately easy,Understood completely,Yes,To be organized and proactive ,36,Male,"Moderate, middle of the road",Yes,2,Never,Not at all,,No,"Yes, in a way how I should plan for the short and long future",No
